"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Caleb Martin","Mia","F","28.5","60","27.3","17.3","12.4","97","0.773","308","0.5","213","0.357","0.514","0.542","10.2","4.4","2.2","0.7","0.4","1.2","14.6","12.3","16.8","6.8","108.2","108.1"
"","Obi Toppin","Ind","F","26.1","79","21.3","16.5","10.7","98","0.765","311","0.701","240","0.408","0.662","0.677","10.2","3.9","1.5","0.5","0.5","0.8","14.1","11.7","15.6","7.3","128.4","114.5"
"","Onyeka Okongwu","Atl","F-C","23.3","55","25.5","13.7","11","116","0.793","296","0.676","69","0.333","0.642","0.674","10.2","6.8","1.3","0.5","1.1","0.8","17","11.5","18.4","7","136","110.1"
"","T.J. McConnell","Ind","G","32","68","18.2","23.3","15.8","62","0.79","517","0.567","38","0.368","0.566","0.581","10","2.7","5.4","1","0.1","1.5","12.6","15.4","18.1","11.6","119.7","115.7"
"","Alex Caruso","Chi","G","30.1","68","28.4","15","15.6","92","0.761","200","0.565","320","0.403","0.589","0.609","10","3.8","3.3","1.6","1","1.4","13.9","13.3","17.1","7","118.3","109.2"
"","Patrick Williams","Chi","F","22.6","43","27.3","16.7","13.7","66","0.788","211","0.474","148","0.399","0.525","0.553","10","3.9","1.5","0.9","0.8","1.3","13.8","11.5","15.4","5.7","107.1","112.5"
"","Jalen Smith","Ind","F-C","24.1","58","17.3","19.6","9.7","104","0.692","242","0.686","139","0.417","0.664","0.677","10","5.6","1.1","0.3","0.6","0.7","15.6","11","16.6","9.1","132.3","108.7"
"","Vince Williams Jr.","Mem","G","23.6","52","27.6","15.8","19.5","130","0.8","170","0.529","209","0.378","0.55","0.597","10","5.6","3.4","0.9","0.7","1.8","15.6","13.4","19","8.3","114.2","107.4"
"","Josh Richardson","Mia","G","30.6","43","25.6","16.4","9.4","54","0.944","157","0.561","190","0.347","0.539","0.573","9.9","2.8","2.4","0.6","0.3","0.8","12.7","12.3","15.1","6.3","115.8","109.6"
"","Tre Jones","San","G","24.2","73","27.6","15","16.6","115","0.87","379","0.583","175","0.349","0.564","0.6","9.9","3.6","6.2","1","0.1","1.5","13.5","16.1","19.7","8.8","124","117"
"","Nick Richards","Cha","C","26.4","65","26.5","13.3","16","178","0.736","367","0.689","1","0","0.688","0.714","9.8","8.2","0.8","0.4","1.1","1.1","18","10.6","18.8","6","133.9","111.1"
"","Tari Eason","Hou","F","22.9","22","21.8","19.8","9.6","33","0.636","139","0.504","50","0.36","0.513","0.528","9.8","7","1.2","1.4","0.9","0.9","16.7","11","18","8","110.5","101.3"
"","Chimezie Metu","Det","F-C","27","10","27.6","14.9","16.8","17","0.941","50","0.7","24","0.167","0.554","0.601","9.8","5.3","2","2","0.7","1.5","15.1","11.8","17.1","6.8","113.1","108.4"
